"word","partOfSpeech","definition","exampleSentence","sourceGroup"
"etymology","noun","the history of words, their origin and development","The word etymology refers to the history of words, their origin and development, and that meaning fits the scene.","Unit 41"
"eulogy","noun","a formal expression of praise (often delivered at funerals)","The word eulogy refers to a formal expression of praise (often delivered at funerals), and that meaning fits the scene.","Unit 25"
"euphoric","adjective","elated, uplifted","Someone who is euphoric is elated, uplifted, and the character seemed exactly that.","Unit 45"
"evanescent","adjective","vanishing","Someone who is evanescent is vanishing, and the character seemed exactly that.","Unit 46"
"evince","verb","to show, reveal","To evince means to show, reveal, so the group chose to evince before the problem became worse.","Unit 32"
"evoke","verb","To draw forth or call up","To evoke means to draw forth or call up, so the group chose to evoke before the problem became worse.","Unit 09"
"exacerbate","verb","to increase the harshness or bitterness of","To exacerbate means to increase the harshness or bitterness of, so the group chose to exacerbate before the problem became worse.","Unit 04"
"exalt","verb","to glorify, praise","To exalt means to glorify, praise, so the group chose to exalt before the problem became worse.","Unit 17"
"exasperate","verb","to intensely irritate","To exasperate means to intensely irritate, so the group chose to exasperate before the problem became worse.","Unit 20"
"excavate","verb","to dig out of the ground and remove","To excavate means to dig out of the ground and remove, so the group chose to excavate before the problem became worse.","Unit 23"
"exculpate","verb","to clear from blame","To exculpate means to clear from blame, so the group chose to exculpate before the problem became worse.","Unit 10"
"excursion","noun","a trip or outing","The word excursion refers to a trip or outing, and that meaning fits the scene.","Unit 19"
"execrable","adjective","loathsome, detestable","Someone who is execrable is loathsome, detestable, and the character seemed exactly that.","Unit 17"
"exegesis","noun","an explanation or critical interpretation (especially of the","The word exegesis refers to an explanation or critical interpretation (especially of the, and that meaning fits the scene.","Unit 36"
"exemplary","adjective","serving as a worthy example","Someone who is exemplary is serving as a worthy example, and the character seemed exactly that.","Unit 32"
"exhort","verb","to urge, prod, spur","To exhort means to urge, prod, spur, so the group chose to exhort before the problem became worse.","Unit 35"
"exigent","adjective","urgent, critical","Someone who is exigent is urgent, critical, and the character seemed exactly that.","Unit 34"
"exonerate","verb","to clear from blame","To exonerate means to clear from blame, so the group chose to exonerate before the problem became worse.","Unit 06"
"exorbitant","adjective","greatly exceeding bounds of reason or moderation","Someone who is exorbitant is greatly exceeding bounds of reason or moderation, and the character seemed exactly that.","Unit 13"
"expatriate","noun","a person who lives outside his own country, often to renounce allegiance","The word expatriate refers to a person who lives outside his own country, often to renounce allegiance, and that meaning fits the scene.","Unit 25"
"expedient","adjective","serving a purpose or personal interest","Someone who is expedient is serving a purpose or personal interest, and the character seemed exactly that.","Unit 02"
"expiate","verb","to make amends for, atone","To expiate means to make amends for, atone, so the group chose to expiate before the problem became worse.","Unit 06"
"explicator","noun","a person who explains or interprets","The word explicator refers to a person who explains or interprets, and that meaning fits the scene.","Unit 32"
"explicit","adjective","clearly expressed or demonstrated","Someone who is explicit is clearly expressed or demonstrated, and the character seemed exactly that.","Unit 26"
"exploit","verb","to use for one's own advantage","To exploit means to use for one's own advantage, so the group chose to exploit before the problem became worse.","Unit 29"
"expunge","verb","to obliterate, eradicate","To expunge means to obliterate, eradicate, so the group chose to expunge before the problem became worse.","Unit 22"
"expurgate","verb","to remove offensive or incorrect parts, usually of a book","To expurgate means to remove offensive or incorrect parts, usually of a book, so the group chose to expurgate before the problem became worse.","Unit 39"
